time_step,lstm_layers,lstm_units,kernel_initializer,regularizer,penalty,drop_out,drop_out_rate,learning_rate,loss,binary_accuracy,f1_score,roc_auc,val_loss,val_binary_accuracy,val_f1_score,val_roc_auc,Epoch
4,2,41,HeNormal,l1,0.016534579,TRUE,0.65,0.000114512,2.138500929,0.513981342,0.415064126,0.515502036,2.080268145,0.628205121,0.65882355,0.613157928,20
7,4,16,GlorotNormal,l2,0.021321979,TRUE,0.6,0.003979793,0.70223254,0.558372259,0.525107563,0.579804778,0.701805711,0.626666665,0.5,0.602418244,20
8,3,28,HeNormal,l2,0.025641193,FALSE,0.95,0.000111467,10.14507008,0.579439223,0.503937006,0.628050029,9.921866417,0.635135114,0.597014904,0.69005847,20
4,2,63,HeNormal,l1,0.00351234,TRUE,0.8,0.000369657,0.706590414,0.518641829,0.451857477,0.528042555,0.702312589,0.538461566,0.37931034,0.625,20
7,3,12,HeNormal,l1,0.001179061,TRUE,0.1,0.002769737,0.785731435,0.627751827,0.555732489,0.665372908,0.818384707,0.600000024,0.423076957,0.612019897,20
10,4,71,GlorotNormal,l1,0.001576063,TRUE,0.05,0.003419394,0.790518641,0.589572191,0.483164966,0.585567296,0.808764458,0.611111104,0.600000024,0.633590758,20
8,5,47,GlorotNormal,l2,0.001024046,TRUE,0.8,0.001540432,0.69259727,0.60680908,0.550724626,0.632869005,0.723326802,0.567567587,0.483870953,0.60051167,20
2,4,14,HeNormal,l2,0.082809499,TRUE,0.3,0.001384022,0.699483275,0.565159559,0.458609283,0.560611248,0.682753205,0.649999976,0.666666687,0.666562557,20
8,2,17,HeNormal,l1,0.006801887,FALSE,0.5,0.000653388,0.771406651,0.585447252,0.527037263,0.614104629,0.808748007,0.513513505,0,0.633771896,20
6,4,56,HeNormal,l2,0.056401558,TRUE,0.45,0.000444805,3.296003342,0.577333331,0.510802507,0.594371676,2.963190794,0.513157904,0.097560979,0.601454258,20
7,3,27,HeNormal,l2,0.013921056,FALSE,0,0.001437381,0.670988977,0.65176785,0.603343487,0.727943182,0.782772124,0.573333323,0.466666669,0.610953093,20
3,3,30,HeNormal,l2,0.025401635,TRUE,0.85,0.000185828,4.213032722,0.520958066,0.443585783,0.520764351,4.094709873,0.632911384,0.666666687,0.601923108,20
10,4,74,HeNormal,l2,0.011003795,FALSE,0.55,0.000160519,1.942036152,0.921791434,0.90126586,0.981137872,3.038024664,0.625,0.608695686,0.621235609,20
9,3,93,HeNormal,l2,0.004584418,FALSE,0.6,0.00233985,0.675111711,0.63994658,0.573913097,0.685784876,0.750404894,0.534246564,0.260869563,0.611861885,20
