,Y,X,alpha,beta,t-stat,p-value,r-sq,ADF p-value,Coint Strength,Coint Strength p-value,Coint Strength Rsq
1194,ABEV,WDS,0.0210287763899735,1.063842131684061,56.65738373582501,0.0,0.5607032273194515,0.0326694100645294,-0.0055914534110682755,0.011394373290660334,0.09968397095317072
1223,ABT,ADI,0.1003402597991575,1.0130947410196822,223.2847274751149,0.0,0.9519773030630028,0.0008724703904127,-0.007283372193558871,0.00014717742349743817,0.1821369289334791
1232,ABT,AES,-0.6257331478502693,2.292271439033956,118.34563102212616,0.0,0.8477666340625153,0.0430663692090392,-0.001492373590058819,0.3479512960151915,0.08039686239447119
1236,ABT,AKAM,-1.075269526264028,1.761410040080852,122.95420354505764,0.0,0.8573675704191259,0.0273429043823567,-0.0026042498951678573,0.0982505352659935,0.15444866489314635
1243,ABT,AME,-0.470113139451047,1.2056054279733437,252.94366050260052,0.0,0.9621778891140248,0.0001146437635425,-0.008420736189973157,0.004175441694151746,0.22099426844867087
1246,ABT,AMT,0.1202312725146797,1.003094833133617,196.9786369771403,0.0,0.9391270849522718,0.0178598337129895,-0.0060128325805126216,0.0007452876994896149,0.23055487792232188
1252,ABT,APD,-0.2067456281415973,1.1722453336178682,221.84446641618985,0.0,0.951382145934636,0.002666004356387,-0.007777400887870229,0.0031274557572060204,0.19630633337004266
1256,ABT,ARCC,-1.3362739974399205,2.169816940428422,137.77705780935656,0.0,0.8830097483839694,0.0183499570262623,-0.001812038705793852,0.3156636880940128,0.08828577270810412
1257,ABT,ARE,-0.4991164664897796,1.511797477383778,177.76990846245593,0.0,0.9262833879437424,0.0219704758242943,-0.006227287533034541,0.003305391577404773,0.20651312756954288
1266,ABT,AXP,-0.940833793902294,1.68426904808094,114.29108636037331,0.0,0.8385486964133235,0.0376344646821505,-0.0009200155341171866,0.5451267386182894,0.10791613431769398
1267,ABT,AZN,-0.7998856157075842,1.6480237638050057,193.66630837241885,0.0,0.9371589954102598,0.0091314213347955,-0.005480784774525784,0.022052581362235396,0.14190002117635514
1289,ABT,BIP,-0.3142475487983321,1.109112946757841,178.07319826729068,0.0,0.9265158421814744,0.0062349656389571,-0.005196537215136111,0.020718644443305543,0.11327450739699518
1298,ABT,BN,-0.3424405361356681,1.0356645976048116,160.01775973634346,0.0,0.9105640513265736,0.0136572772490314,-0.0033321586601601882,0.08830534823333973,0.1825362356625041
1317,ABT,CCI,-0.3465354885068803,1.0612807370388515,240.03648366190663,0.0,0.9581757047213804,0.0004876695376632,-0.009082347959515272,0.0012634752761489698,0.2078254637562843
1324,ABT,CHD,-0.4887581448796974,1.1934832805454385,174.12814400794244,0.0,0.9234063274910216,0.020341379801567,-0.005194324052658319,0.016214063766799264,0.14431444689105277
1340,ABT,CNI,-1.3010557374457752,1.8813848763027747,156.83366471871645,0.0,0.9072359581645872,0.0193718426383228,-0.004691531388445311,0.01622465601191225,0.1552381707262912
1351,ABT,CQP,-0.9888925236794436,1.3934120612158338,125.97680013710487,0.0,0.8632048458030881,0.0079931708467478,-0.0023049721578904236,0.18158543741720032,0.028732377371708973
1358,ABT,CSX,-0.0097017953618937,1.0082356784594526,173.0886474284832,0.0,0.922555048727976,0.0151307119631443,-0.006369319204341969,0.0016312365293829074,0.14511154890364286
1370,ABT,DECK,0.9391396975684784,1.0210821806529895,137.7117048337858,0.0,0.8829116877975721,0.010448724093065,-0.003354591185758475,0.06919993083778715,0.04605018874768663
1371,ABT,DEO,-2.1842699019445715,2.719076121566496,129.35281897570096,0.0,0.8693313156593618,0.0367107753678797,-0.002849813792594127,0.08727672744312742,0.1312068465558528
1373,ABT,DG,-0.1287041496328313,1.0704176566808363,258.9501055658764,0.0,0.963849442027834,0.0086540353367477,-0.009290833516059797,2.3447291396273892e-05,0.11529459423424049
1381,ABT,DOV,-0.1574292425488738,1.220876133797128,186.88727777432297,0.0,0.9328291820135975,0.0054570244398006,-0.006013715039557087,0.008460990418247782,0.16167465812771564
1386,ABT,DUK,-2.538287931101748,3.233682592948484,130.26187845242046,0.0,0.8709141437988752,0.0264440211966032,-0.0019405625550537764,0.24172051558463858,0.15234417791823618
1391,ABT,EBAY,-0.3607778822300003,1.1335107936774376,131.5067031687457,0.0,0.873037591385624,0.0389841392088725,-0.003423596857720194,0.04669596660536277,0.09996301830755616
1394,ABT,ECL,-0.901964668290745,1.3720440624852008,177.6117852416982,0.0,0.9261617695221224,0.024628273726974,-0.002838788801543134,0.18655229269791962,0.187505717396097
1425,ABT,EXPD,-0.5487790904197846,1.91260949914691,178.64674344332005,0.0,0.9269525148602034,0.0084081247194579,-0.005822626145681478,0.007576687436478397,0.16871028151685497
